Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )

ABN  AMRO Mutual Fund
103130;HDFC Multiple Yield Fund - Plan 2005-Dividend;10.8483;10.7398;10.9568;20-Sep-2007
103131;HDFC Multiple Yield Fund - Plan 2005-Growth;11.7717;11.654;11.8894;20-Sep-2007
101431;HDFC Short Term Plan-DIVIDEND;10.3367;10.3109;10.3367;20-Sep-2007
101430;HDFC Short Term Plan-GROWTH;14.0121;13.9771;14.0121;20-Sep-2007

HSBC Mutual Fund
101687;HSBC Income Fund - Investment - Inst. - Growth;13.3646;13.3646;13.3646;20-Sep-2007
101686;HSBC Income Fund - Investment - Regular - Dividend;10.5152;10.4626;10.5152;20-Sep-2007
101685;HSBC Income Fund - Investment - Regular - Growth;12.9229;12.8583;12.9229;20-Sep-2007
101598;HSBC Income Fund - Short Term - Inst. - Dividend;10.0531;10.0531;10.0531;20-Sep-2007
104430;HSBC Income Fund - Short Term - Inst. - Dividend - Weekly;10.1085;10.1085;10.1085;20-Sep-2007
101597;HSBC Income Fund - Short Term - Inst. - Growth;10.1575;10.1575;10.1575;20-Sep-2007
101600;HSBC Income Fund - Short Term - Regular - Dividend;10.8536;10.8536;10.8536;20-Sep-2007
104429;HSBC Income Fund - Short Term - Regular - Dividend - Weekly;10.0943;10.0943;10.0943;20-Sep-2007
101599;HSBC Income Fund - Short Term - Regular - Growth;13.0089;13.0089;13.0089;20-Sep-2007
104351;HSBC Liquid Plus Fund - Inst. - Dividend - Daily;10.0125;10.0125;10.0125;20-Sep-2007
104348;HSBC Liquid Plus Fund - Inst. - Dividend - Monthly;10.1222;10.1222;10.1222;20-Sep-2007
104352;HSBC Liquid Plus Fund - Inst. - Dividend - Weekly;10.0406;10.0406;10.0406;20-Sep-2007
104344;HSBC Liquid Plus Fund - Inst. - Growth;10.7775;10.7775;10.7775;20-Sep-2007
104346;HSBC Liquid Plus Fund - Inst. Plus -  Dividend - Monthly;10.1202;10.1202;10.1202;20-Sep-2007
104349;HSBC Liquid Plus Fund - Inst. Plus - Dividend - Daily;10.0126;10.0126;10.0126;20-Sep-2007
